Freq.	I(R1)
6.60000000000000e+05	(-1.71444020554234e+02dB,9.71550991467951e+01°)
6.65000000000000e+05	(-1.71522876839738e+02dB,9.72935332728330e+01°)
6.70000000000000e+05	(-1.71636251043182e+02dB,9.70896872809621e+01°)
6.75000000000000e+05	(-1.71671694309129e+02dB,9.70600047516149e+01°)
6.80000000000000e+05	(-1.71722976720160e+02dB,9.73730344866313e+01°)
6.85000000000000e+05	(-1.71813016076776e+02dB,9.75248908614497e+01°)
6.90000000000000e+05	(-1.71813948419570e+02dB,9.75548010948166e+01°)
6.95000000000000e+05	(-1.71863384806720e+02dB,9.75271252383733e+01°)
7.00000000000000e+05	(-1.69562486196926e+02dB,1.05227957585012e+02°)
7.05000000000000e+05	(-1.72161800571907e+02dB,9.75357871392663e+01°)
7.10000000000000e+05	(-1.72135206494594e+02dB,9.72185992643343e+01°)
7.15000000000000e+05	(-1.72164281020126e+02dB,9.65906795746112e+01°)
7.20000000000000e+05	(-1.72251550307580e+02dB,9.66496399299736e+01°)
7.25000000000000e+05	(-1.72352325676416e+02dB,9.68954285658927e+01°)
7.30000000000000e+05	(-1.72373235434809e+02dB,9.67320849434920e+01°)
7.35000000000000e+05	(-1.72405448810579e+02dB,9.66469881174697e+01°)
7.40000000000000e+05	(-1.72474778991149e+02dB,9.64757824976104e+01°)
7.45000000000000e+05	(-1.72551262450328e+02dB,9.66017230175536e+01°)
7.50000000000000e+05	(-1.63699264228387e+02dB,9.81861641822850e+01°)
7.55000000000000e+05	(-1.72575723711394e+02dB,9.58327698700916e+01°)
7.60000000000000e+05	(-1.72565626149499e+02dB,9.69090286238146e+01°)
7.65000000000000e+05	(-1.72661920256377e+02dB,9.67804225076579e+01°)
7.70000000000000e+05	(-1.72791374619594e+02dB,9.66103657939606e+01°)
7.75000000000000e+05	(-1.72804582553488e+02dB,9.67048592987697e+01°)
7.80000000000000e+05	(-1.72825222650298e+02dB,9.71016106167445e+01°)
7.85000000000000e+05	(-1.72928399687731e+02dB,9.70767974092800e+01°)
7.90000000000000e+05	(-1.72957096641778e+02dB,9.71355771313308e+01°)
7.95000000000000e+05	(-1.73045410369199e+02dB,9.66781448561717e+01°)
8.00000000000000e+05	(-1.75015760059427e+02dB,1.24285107395031e+02°)
8.05000000000000e+05	(-1.73193817576311e+02dB,9.59886684671493e+01°)
8.10000000000000e+05	(-1.73185024085983e+02dB,9.61248928377236e+01°)
8.15000000000000e+05	(-1.73215040898085e+02dB,9.57475630174595e+01°)
8.20000000000000e+05	(-1.73311686464170e+02dB,9.58820431647926e+01°)
8.25000000000000e+05	(-1.73376079286516e+02dB,9.62382687642379e+01°)
8.30000000000000e+05	(-1.73385421671421e+02dB,9.61234674094974e+01°)
8.35000000000000e+05	(-1.73407532723568e+02dB,9.57682755894367e+01°)
8.40000000000000e+05	(-1.73461869336295e+02dB,9.58403161279663e+01°)
8.45000000000000e+05	(-1.73496504655399e+02dB,9.63006830664805e+01°)
8.50000000000000e+05	(-1.67127640314551e+02dB,1.13510731007060e+02°)
8.55000000000000e+05	(-1.73561846582412e+02dB,9.57310305323977e+01°)
8.60000000000000e+05	(-1.73641549436984e+02dB,9.66781610925301e+01°)
8.65000000000000e+05	(-1.73705988511921e+02dB,9.63541181802557e+01°)
8.70000000000000e+05	(-1.73818416457280e+02dB,9.62265672367838e+01°)
8.75000000000000e+05	(-1.73810302673100e+02dB,9.63699546034489e+01°)
8.80000000000000e+05	(-1.73814818337914e+02dB,9.66889273532016e+01°)
8.85000000000000e+05	(-1.73918297546391e+02dB,9.63785988500947e+01°)
8.90000000000000e+05	(-1.73998408218193e+02dB,9.62485162516649e+01°)
8.95000000000000e+05	(-1.74082125106814e+02dB,9.54114562722252e+01°)
9.00000000000000e+05	(-1.82505680805857e+02dB,9.86894234675191e+01°)
9.05000000000000e+05	(-1.74020805346276e+02dB,9.49248793284390e+01°)
9.10000000000000e+05	(-1.74091248591386e+02dB,9.54748472181687e+01°)
9.15000000000000e+05	(-1.74144544873692e+02dB,9.53899869000641e+01°)
9.20000000000000e+05	(-1.74224260583321e+02dB,9.54873545682356e+01°)
9.25000000000000e+05	(-1.74248848298669e+02dB,9.59077712834316e+01°)
9.30000000000000e+05	(-1.74276399053668e+02dB,9.56591884001574e+01°)
9.35000000000000e+05	(-1.74291068571017e+02dB,9.51487193576417e+01°)
9.40000000000000e+05	(-1.74373261409733e+02dB,9.55673205680464e+01°)
9.45000000000000e+05	(-1.74393303203175e+02dB,9.65364688946996e+01°)
9.50000000000000e+05	(-1.72224143360201e+02dB,1.10064760816961e+02°)
9.55000000000000e+05	(-1.74514856488054e+02dB,9.57457483961077e+01°)
9.60000000000000e+05	(-1.74636146207441e+02dB,9.61527526535091e+01°)
9.65000000000000e+05	(-1.74627597955043e+02dB,9.58227085352572e+01°)
9.70000000000000e+05	(-1.74707704709345e+02dB,9.57465819532287e+01°)
9.75000000000000e+05	(-1.74701940225472e+02dB,9.57710150128484e+01°)
9.80000000000000e+05	(-1.74710172555430e+02dB,9.58720826576612e+01°)
9.85000000000000e+05	(-1.74806514433830e+02dB,9.55306084665150e+01°)
9.90000000000000e+05	(-1.74909809519674e+02dB,9.51118006825314e+01°)
9.95000000000000e+05	(-1.74956131563591e+02dB,9.42864979137146e+01°)
1.00000000000000e+06	(-1.78644815729618e+02dB,6.31432665957815e+01°)
1.00500000000000e+06	(-1.74735584200549e+02dB,9.48037647522347e+01°)
1.01000000000000e+06	(-1.74903456198533e+02dB,9.53292379667209e+01°)
1.01500000000000e+06	(-1.74989506941333e+02dB,9.52733577688480e+01°)
1.02000000000000e+06	(-1.75047770857938e+02dB,9.52650659415066e+01°)
1.02500000000000e+06	(-1.75058709872125e+02dB,9.57247744332868e+01°)
1.03000000000000e+06	(-1.75117382100962e+02dB,9.52632705206308e+01°)
1.03500000000000e+06	(-1.75144142183776e+02dB,9.49037963443525e+01°)
1.04000000000000e+06	(-1.75258789838597e+02dB,9.55680377114854e+01°)
1.04500000000000e+06	(-1.75282722465477e+02dB,9.68354279442907e+01°)
1.05000000000000e+06	(-1.73675902026805e+02dB,8.49883429360825e+01°)
1.05500000000000e+06	(-1.75398250621081e+02dB,9.54215131516439e+01°)
1.06000000000000e+06	(-1.75489510829695e+02dB,9.52417433732428e+01°)
1.06500000000000e+06	(-1.75419423239822e+02dB,9.51599799536945e+01°)
1.07000000000000e+06	(-1.75490493340491e+02dB,9.51698164470912e+01°)
1.07500000000000e+06	(-1.75504589675221e+02dB,9.49929029969370e+01°)
1.08000000000000e+06	(-1.75511264029252e+02dB,9.49322154610470e+01°)
1.08500000000000e+06	(-1.75606599510055e+02dB,9.49197684547223e+01°)
1.09000000000000e+06	(-1.75662851565920e+02dB,9.43361898251675e+01°)
1.09500000000000e+06	(-1.75681572231732e+02dB,9.37575131112906e+01°)
1.10000000000000e+06	(-1.75886189629697e+02dB,7.45487696522648e+01°)
1.10500000000000e+06	(-1.75454936396590e+02dB,9.52188651226079e+01°)
1.11000000000000e+06	(-1.75696933452319e+02dB,9.53288349677535e+01°)
1.11500000000000e+06	(-1.75795260515839e+02dB,9.51176114253504e+01°)
1.12000000000000e+06	(-1.75845599099388e+02dB,9.50400512242190e+01°)
1.12500000000000e+06	(-1.75861750177725e+02dB,9.55793575418998e+01°)
1.13000000000000e+06	(-1.75926805997631e+02dB,9.50200758941530e+01°)
1.13500000000000e+06	(-1.75983885824547e+02dB,9.48839269682420e+01°)
1.14000000000000e+06	(-1.76087043521728e+02dB,9.55348535087841e+01°)
1.14500000000000e+06	(-1.76101773162554e+02dB,9.65003293223369e+01°)
1.15000000000000e+06	(-1.72269103113738e+02dB,8.29827694705115e+01°)
1.15500000000000e+06	(-1.76170249534562e+02dB,9.46369825180867e+01°)
1.16000000000000e+06	(-1.76210758152728e+02dB,9.43327539419878e+01°)
1.16500000000000e+06	(-1.76126361989067e+02dB,9.47049082940858e+01°)
1.17000000000000e+06	(-1.76210153943801e+02dB,9.47470666560556e+01°)
1.17500000000000e+06	(-1.76229302350796e+02dB,9.44302863004458e+01°)
1.18000000000000e+06	(-1.76210725320037e+02dB,9.43745500808464e+01°)
1.18500000000000e+06	(-1.76318834338378e+02dB,9.46833178584028e+01°)
1.19000000000000e+06	(-1.76295575378646e+02dB,9.42048766929376e+01°)
1.19500000000000e+06	(-1.76329427356871e+02dB,9.37520143179940e+01°)
1.20000000000000e+06	(-1.75862702914968e+02dB,9.08774565827542e+01°)
1.20500000000000e+06	(-1.76250872910388e+02dB,9.54650875922743e+01°)
1.21000000000000e+06	(-1.76512653025804e+02dB,9.51369302691065e+01°)
1.21500000000000e+06	(-1.76571730730217e+02dB,9.49337235684409e+01°)
1.22000000000000e+06	(-1.76612708860917e+02dB,9.47736377223478e+01°)
1.22500000000000e+06	(-1.76630427202258e+02dB,9.53720299396104e+01°)
1.23000000000000e+06	(-1.76675626337854e+02dB,9.48855971086897e+01°)
1.23500000000000e+06	(-1.76763814194007e+02dB,9.46453883960490e+01°)
1.24000000000000e+06	(-1.76816453633689e+02dB,9.51387371685070e+01°)
1.24500000000000e+06	(-1.76779190358155e+02dB,9.54048503131594e+01°)
1.25000000000000e+06	(-1.72516067848023e+02dB,9.40300162915647e+01°)
1.25500000000000e+06	(-1.76837327712362e+02dB,9.39769788413734e+01°)
1.26000000000000e+06	(-1.76863435465970e+02dB,9.40126498929174e+01°)
1.26500000000000e+06	(-1.76796669336781e+02dB,9.47713135472457e+01°)
1.27000000000000e+06	(-1.76873310914261e+02dB,9.46023787398229e+01°)
1.27500000000000e+06	(-1.76880570684557e+02dB,9.42421906549534e+01°)
1.28000000000000e+06	(-1.76840955031883e+02dB,9.42857655705070e+01°)
1.28500000000000e+06	(-1.76966212236310e+02dB,9.45685860620238e+01°)
1.29000000000000e+06	(-1.76916784465442e+02dB,9.44533202940097e+01°)
1.29500000000000e+06	(-1.76997489294208e+02dB,9.39817003690682e+01°)
1.30000000000000e+06	(-1.77723805699947e+02dB,1.01240553638299e+02°)
1.30500000000000e+06	(-1.77087351505777e+02dB,9.52281821926093e+01°)
1.31000000000000e+06	(-1.77294217152535e+02dB,9.46779761485129e+01°)
1.31500000000000e+06	(-1.77276667427672e+02dB,9.48043198376963e+01°)
1.32000000000000e+06	(-1.77290840401785e+02dB,9.44100537757648e+01°)
1.32500000000000e+06	(-1.77313862522027e+02dB,9.49447186694585e+01°)
1.33000000000000e+06	(-1.77356449596060e+02dB,9.46469733361942e+01°)
1.33500000000000e+06	(-1.77446066425591e+02dB,9.40133635607741e+01°)
1.34000000000000e+06	(-1.77451142125200e+02dB,9.45048885360367e+01°)
1.34500000000000e+06	(-1.77318294935080e+02dB,9.43501406602601e+01°)
1.35000000000000e+06	(-1.74563926835022e+02dB,1.03452222417451e+02°)
1.35500000000000e+06	(-1.77446619688437e+02dB,9.41311951439990e+01°)
1.36000000000000e+06	(-1.77489894872501e+02dB,9.43542154950804e+01°)
1.36500000000000e+06	(-1.77446350130284e+02dB,9.50839435979484e+01°)
1.37000000000000e+06	(-1.77480102445754e+02dB,9.44898351285455e+01°)
1.37500000000000e+06	(-1.77500406759217e+02dB,9.41877759069591e+01°)
1.38000000000000e+06	(-1.77479507208149e+02dB,9.43399062329143e+01°)
1.38500000000000e+06	(-1.77594188816005e+02dB,9.44132266234586e+01°)
1.39000000000000e+06	(-1.77604084092900e+02dB,9.46875159607120e+01°)
1.39500000000000e+06	(-1.77721634058484e+02dB,9.42620815629197e+01°)
1.40000000000000e+06	(-1.80119224064530e+02dB,9.69379922123545e+01°)
1.40500000000000e+06	(-1.77843328484515e+02dB,9.46180477222308e+01°)
1.41000000000000e+06	(-1.77938593591657e+02dB,9.40231856871545e+01°)
1.41500000000000e+06	(-1.77881390887846e+02dB,9.46085092117128e+01°)
1.42000000000000e+06	(-1.77868797356892e+02dB,9.39379397578319e+01°)
1.42500000000000e+06	(-1.77919045785795e+02dB,9.43389183724038e+01°)
1.43000000000000e+06	(-1.77995016092255e+02dB,9.42838770748878e+01°)
1.43500000000000e+06	(-1.78034971280503e+02dB,9.34613459164744e+01°)
1.44000000000000e+06	(-1.78016965844827e+02dB,9.41526499872396e+01°)
1.44500000000000e+06	(-1.77795192423924e+02dB,9.41583107806545e+01°)
1.45000000000000e+06	(-1.77374700462877e+02dB,1.00703115632022e+02°)
1.45500000000000e+06	(-1.78056421562484e+02dB,9.49360981533234e+01°)
1.46000000000000e+06	(-1.78101731938148e+02dB,9.47381072319779e+01°)
1.46500000000000e+06	(-1.78080961699933e+02dB,9.50183008822872e+01°)
1.47000000000000e+06	(-1.78065334048321e+02dB,9.41786699064669e+01°)
1.47500000000000e+06	(-1.78144972654409e+02dB,9.40500280107211e+01°)
1.48000000000000e+06	(-1.78161126669848e+02dB,9.42826768404835e+01°)
1.48500000000000e+06	(-1.78214032736277e+02dB,9.43471631235234e+01°)
1.49000000000000e+06	(-1.78311032562433e+02dB,9.46205698717856e+01°)
1.49500000000000e+06	(-1.78437873897949e+02dB,9.43524074787086e+01°)
1.50000000000000e+06	(-1.80199852339457e+02dB,8.44522342330119e+01°)
1.50500000000000e+06	(-1.78446800656271e+02dB,9.38598570598721e+01°)
1.51000000000000e+06	(-1.78430538257928e+02dB,9.33802669822777e+01°)
1.51500000000000e+06	(-1.78423810039663e+02dB,9.42706068764132e+01°)
1.52000000000000e+06	(-1.78411302812244e+02dB,9.35863516661465e+01°)
1.52500000000000e+06	(-1.78490373761605e+02dB,9.39266525943071e+01°)
1.53000000000000e+06	(-1.78590850878775e+02dB,9.40827292190852e+01°)
1.53500000000000e+06	(-1.78557327964699e+02dB,9.35495152520339e+01°)
1.54000000000000e+06	(-1.78529814723886e+02dB,9.43105700849649e+01°)
1.54500000000000e+06	(-1.78297425094234e+02dB,9.46259805994767e+01°)
1.55000000000000e+06	(-1.78181991284814e+02dB,8.76735292520941e+01°)
1.55500000000000e+06	(-1.78711932395404e+02dB,9.54679154414241e+01°)
1.56000000000000e+06	(-1.78700798022056e+02dB,9.45955106257201e+01°)
1.56500000000000e+06	(-1.78693897291109e+02dB,9.44082815136160e+01°)
1.57000000000000e+06	(-1.78658406473214e+02dB,9.38045429198128e+01°)
1.57500000000000e+06	(-1.78803874483632e+02dB,9.38561185808717e+01°)
1.58000000000000e+06	(-1.78817199541614e+02dB,9.40856426231951e+01°)
1.58500000000000e+06	(-1.78789543271933e+02dB,9.43714091593489e+01°)
1.59000000000000e+06	(-1.78924149783735e+02dB,9.40882089632767e+01°)
1.59500000000000e+06	(-1.79061773890128e+02dB,9.39665240170525e+01°)
1.60000000000000e+06	(-1.79037318535504e+02dB,8.41085609573911e+01°)
1.60500000000000e+06	(-1.78950214708161e+02dB,9.32005175030750e+01°)
1.61000000000000e+06	(-1.78866832392567e+02dB,9.31301936719486e+01°)
1.61500000000000e+06	(-1.78957812105745e+02dB,9.40292856180865e+01°)
1.62000000000000e+06	(-1.78968299339686e+02dB,9.36204742062883e+01°)
1.62500000000000e+06	(-1.79036554978795e+02dB,9.39720908418760e+01°)
1.63000000000000e+06	(-1.79106031740705e+02dB,9.42118248325714e+01°)
1.63500000000000e+06	(-1.79050897528399e+02dB,9.40793207164013e+01°)
1.64000000000000e+06	(-1.79023742718132e+02dB,9.45967425126689e+01°)
1.64500000000000e+06	(-1.78878160528477e+02dB,9.48485292268059e+01°)
1.65000000000000e+06	(-1.77357564596795e+02dB,8.53199375977533e+01°)
1.65500000000000e+06	(-1.79387789827393e+02dB,9.50610654025241e+01°)
1.66000000000000e+06	(-1.79261760399000e+02dB,9.40652594918492e+01°)
1.66500000000000e+06	(-1.79249816069377e+02dB,9.37532717819233e+01°)
1.67000000000000e+06	(-1.79231524369999e+02dB,9.35904142039662e+01°)
1.67500000000000e+06	(-1.79395761947398e+02dB,9.36345825372475e+01°)
1.68000000000000e+06	(-1.79356249269755e+02dB,9.37700578513296e+01°)
1.68500000000000e+06	(-1.79302416277554e+02dB,9.41729327853071e+01°)
1.69000000000000e+06	(-1.79407637320646e+02dB,9.32773101660731e+01°)
1.69500000000000e+06	(-1.79573852264751e+02dB,9.32837841747482e+01°)
1.70000000000000e+06	(-1.78935721289368e+02dB,9.17262549140230e+01°)
1.70500000000000e+06	(-1.79435755007191e+02dB,9.29082350382737e+01°)
1.71000000000000e+06	(-1.79335011024580e+02dB,9.34820600916060e+01°)
1.71500000000000e+06	(-1.79484460755075e+02dB,9.40695874730854e+01°)
1.72000000000000e+06	(-1.79516445842127e+02dB,9.38712590046425e+01°)
1.72500000000000e+06	(-1.79538525402295e+02dB,9.42021248964203e+01°)
1.73000000000000e+06	(-1.79550661319037e+02dB,9.44543402511150e+01°)
1.73500000000000e+06	(-1.79564409773731e+02dB,9.43438082555151e+01°)
1.74000000000000e+06	(-1.79551222066120e+02dB,9.45642521961192e+01°)
1.74500000000000e+06	(-1.79514014001505e+02dB,9.43291367326921e+01°)
1.75000000000000e+06	(-1.77380029641898e+02dB,9.21562740140156e+01°)
1.75500000000000e+06	(-1.79956096567592e+02dB,9.40101648634749e+01°)
1.76000000000000e+06	(-1.79733016768732e+02dB,9.36924111847736e+01°)
1.76500000000000e+06	(-1.79721178154622e+02dB,9.34943992554745e+01°)
1.77000000000000e+06	(-1.79736759551035e+02dB,9.34410227663471e+01°)
1.77500000000000e+06	(-1.79874975385495e+02dB,9.33042890792222e+01°)
1.78000000000000e+06	(-1.79792587001383e+02dB,9.34318110988964e+01°)
